
2675,267,103,81,0
2784,142,48,369,0
2818,153,24,371,0
2751,275,142,68,0
2789,301,141,103,0
2891,341,116,38,0
2042,96,48,95,0
2065,35,62,329,0
1887,262,100,137,0
1961,10,29,414,0
2031,206,54,10,0
2002,15,23,320,0
1978,16,78,67,0
1960,30,189,340,0
2003,128,95,18,0
1911,20,43,181,0
1898,15,11,108,0
1967,132,66,34,0
1931,17,131,355,0
1947,132,80,130,0
1983,76,19,253,0
2021,75,39,328,0
1979,42,66,353,0
1813,277,101,35,0
1950,123,20,11,0
1811,291,47,69,0
1962,98,19,142,0
1860,307,128,137,0
1974,321,145,117,0
1968,268,52,268,0
2127,96,31,358,0
2028,299,122,59,0
2031,296,155,107,0
2031,268,125,104,0
2160,129,91,88,0
2022,281,102,103,0
1886,15,46,40,0
1920,165,102,71,0
1847,100,28,54,0
1848,26,121,83,0
1881,190,100,14,0
1849,16,87,80,0
1856,154,101,10,0
1899,121,41,31,0
1881,153,90,31,0
1934,211,67,23,0
1911,207,101,27,0
1867,249,30,8,0
1892,218,43,31,0
1818,326,49,72,0
1942,240,110,12,0
1960,42,57,13,0
1910,215,43,17,0
1932,13,113,63,0
1816,353,45,37,0
1941,89,140,43,0
1943,114,30,14,0
1782,325,87,30,0
1770,375,66,60,0
1962,153,25,40,0
1880,255,86,19,0
1925,113,57,34,0
1955,150,77,64,0
1810,339,61,133,0
1819,310,138,229,0
1949,110,31,45,0
2161,32,40,37,0
2211,60,47,29,0
2232,76,72,25,0
2235,20,14,10,0
2218,81,28,43,0
2253,17,13,40,0
2215,71,35,47,0
2281,24,31,225,0
2362,93,85,22,0
2424,48,43,60,0
2486,157,31,90,0
2568,39,51,15,0
2543,18,32,40,0
2470,14,28,18,0
2458,120,24,97,0
2554,69,48,23,0
2597,28,39,50,0
2599,42,53,22,0
2549,54,41,377,0
2587,40,18,9,0
2619,36,51,9,0
2678,37,48,362,0
2761,23,81,198,0
2823,112,15,54,0
2912,50,84,146,0
2976,130,11,69,0
2991,37,52,158,0
3049,91,10,68,0
3114,109,22,43,0
3156,117,24,38,0
2710,35,30,48,0
2711,19,33,19,0
2784,47,15,17,0
2853,74,27,8,0
2959,4,17,120,0
2950,2,17,29,0
2984,30,33,49,0
3045,14,33,20,0
3127,26,60,28,0
3177,67,26,18,0
3257,39,40,61,0
3275,2,6,38,0
3302,61,50,33,0
3361,74,36,13,0
3436,132,11,44,0
3547,28,38,20,0
3632,18,40,36,0
3679,58,24,8,0
3759,68,21,8,0
3828,103,56,18,0
3944,50,17,21,0
3938,17,41,24,0
4015,46,82,27,0
4051,131,18,73,0
4186,32,58,35,0
4246,71,31,9,0
4239,74,24,14,0
4282,152,28,90,0
4363,119,46,13,0
4453,58,32,16,0
2023,40,41,240,0
2077,10,11,241,0
2088,9,10,279,0
2121,10,27,25,0
2115,14,3,36,0
2148,36,86,67,0
2263,41,62,115,0
2308,12,66,48,0
2358,15,58,61,0
2365,35,55,48,0
2428,47,50,40,0
2450,22,11,215,0
2494,17,72,242,0
2551,14,47,50,0
2550,16,20,52,0
2510,16,30,31,0
2543,26,55,36,0
2560,16,32,45,0
2578,51,86,53,0
2601,34,15,32,0
2626,24,33,57,0
2633,19,47,42,0
2597,44,42,172,0
2643,13,30,37,0
2661,22,35,85,0
2672,32,33,254,0
2712,26,28,16,0
2728,58,51,43,0
2788,61,30,25,0
2824,92,58,17,0
1913,17,13,21,0
1904,18,7,88,0
1949,36,44,37,0
1995,37,42,45,0
2050,16,29,43,0
2064,9,31,41,0
2169,57,21,31,0
2269,87,47,25,0
2339,18,17,33,0
2399,37,58,36,0
2484,15,53,40,0
2509,117,48,20,0
2596,177,33,48,0
2715,37,47,37,0
2720,30,34,46,0
2724,10,29,28,0
2749,21,39,24,0
2766,39,24,27,0
2822,100,54,17,0
2913,56,39,16,0
2965,165,31,26,0
3086,166,27,43,0
3242,12,66,96,0
3285,102,40,25,0
3354,41,39,148,0
3403,41,33,37,0
3426,27,40,30,0
3420,27,35,41,0
3452,93,25,29,0
3474,30,18,18,0
1899,20,23,15,0
1905,11,20,46,0
1922,26,48,45,0
2012,58,20,14,0
2072,25,20,24,0
2107,33,28,45,0
2128,21,46,81,0
2220,26,48,39,0
2264,43,29,65,0
2300,39,41,38,0
2319,13,31,175,0
2400,30,40,60,0
2467,26,50,31,0
2500,32,14,31,0
2523,27,47,58,0
2569,42,66,36,0
2647,39,45,39,0
2663,33,53,16,0
2684,20,39,54,0
